comment,step,time,type,head_pan,head_tilt,head_sidetilt,r_arm,right_arm_shoulder_rotate,right_arm_shoulder_lift,right_arm_elbow_rotate,right_arm_elbow_bend,right_arm_wrist_rotate,right_arm_gripper,l_arm,left_arm_shoulder_rotate,left_arm_shoulder_lift,left_arm_elbow_rotate,left_arm_elbow_bend,left_arm_wrist_rotate,left_arm_gripper,param1,param2
Head Down,1,0,move,0,1.1428,0,R:,0.256,0.0399,0.1503,2.123,0.0015,-1.3438,L:,-0.4924,0.2132,0.0015,2.1046,-0.0153,2.0847,,
lights off,2,0,lights,,,,,,,,,,,,,,,,,,0,
start music,3,6,sound,,,,,,,,,,,,,,,,,,believer_trim.wav,
DIM BLUE,4,0.8,lights,,,,,,,,,,,,,,,,,,13,
lights off,5,0.8,lights,,,,,,,,,,,,,,,,,,0,
DIM BLUE,6,0.8,lights,,,,,,,,,,,,,,,,,,13,
head up,7,0.32,move,0,-0.158,0,,,,,,,,,,,,,,,,
lights off,8,0.64,lights,,,,,,,,,,,,,,,,,,0,
DIM BLUE,9,0.8,lights,,,,,,,,,,,,,,,,,,13,
lights off,10,0.8,lights,,,,,,,,,,,,,,,,,,0,
arm up,11,0.2,move,-0.1503,-0.158,0,R:,-1.082,0.0522,-0.0537,2.0847,0.0031,-1.3438,L:,-0.4939,0.2132,-0.0031,2.1077,-0.0153,2.0862,,
DIM BLUE,12,0.8,lights,,,,,,,,,,,,,,,,,,13,
lights off,13,0.8,lights,,,,,,,,,,,,,,,,,,0,
FIRST 1,14,,move,-0.3896,0.2761,-0.0123,R:,-1.161,0.0414,-0.0368,1.6153,0.0031,-1.3438,L:,-0.1022,0.3528,0.0675,1.985,-0.0199,2.0279,,
things,15,0.48,move,-0.3896,0.2761,-0.0123,R:,-1.158,0.043,-0.0368,2.3317,0.0031,-1.3438,L:,-0.1037,0.4433,0.2838,2.1108,-0.1396,2.0279,,
DIM BLUE,16,0,lights,,,,,,,,,,,,,,,,,,13,
first,17,0.4,move,-0.2071,-0.1304,0.2623,R:,-1.172,0.0353,-0.0368,1.6444,0.0031,-1.3438,L:,-0.0991,0.4725,0.1227,2.0693,-0.1503,2.0295,,
Im,18,0.48,move,0.1611,-0.1335,-0.0031,R:,-1.164,0.092,-0.8928,2.1629,0.0031,-1.3438,L:,-0.1129,0.4326,0.3252,1.7441,-0.1519,2.0295,,
say,19,0.96,move,0.2362,-0.092,0.046,R:,-1.151,0.1917,-0.3651,1.6337,0.0031,-1.3438,L:,-0.1543,0.5001,0.5722,1.781,-0.1687,2.031,,
words,20,0.48,move,0.1795,-0.1626,0.1104,R:,-1.853,0.4878,-0.9357,1.7027,0.0031,-1.3438,L:,-0.159,0.5185,0.408,1.7625,-0.0936,2.031,,
head,21,0.48,move,0.046,-0.0138,-0.0936,R:,-1.902,0.5323,-0.4725,2.3823,0.0015,-1.3438,L:,-0.1574,0.4863,0.4771,1.7012,-0.0844,2.031,,
fired,22,0.96,move,-0.3099,-0.1089,-0.0522,R:,-1.695,0.3344,-1.2732,2.3102,0.0015,-1.3438,L:,-0.0976,0.4755,0.4264,1.6414,-0.0859,2.031,,
tired,23,0.96,move,-0.4096,-0.1135,0.1841,R:,-1.597,0.293,-0.8882,1.5278,0.0015,-1.3438,L:,-0.0884,0.4755,0.5584,1.6383,-0.1166,2.031,,
way,24,0.96,move,-0.0936,-0.3728,0.0506,R:,-1.152,0.2531,-0.9465,1.7104,0.0015,-1.3438,L:,-0.0869,0.474,0.385,1.6705,-0.1565,2.031,,
been oh,25,0.96,move,-0.3866,-0.1473,0.0844,R:,-1.152,0.655,-0.2332,1.4542,0.0031,-1.3438,L:,-0.0991,0.3881,0.3973,1.7886,-0.1565,2.0295,,
hoo,26,0.96,move,-0.3298,-0.0966,0.089,R:,-1.152,0.6535,-0.227,1.4542,0.0015,-1.3438,L:,-0.116,0.3789,0.3866,1.6368,-0.1565,2.031,,
,27,0.96,move,-0.2347,-0.2439,0.0936,,,,,,,,,,,,,,,,
TURN,33,0,marker,,,,,,,,,,,,,,,,,,1,
way,28,0.96,move,-0.4357,-0.1795,-0.1825,R:,-1.152,0.2531,-0.9465,1.7104,0.0015,-1.3438,L:,-0.1206,0.4372,0.4985,1.7595,-0.1565,2.031,,
been oh,29,0.96,move,0.046,0.0031,0.0905,R:,-1.152,0.655,-0.2332,1.4542,0.0031,-1.3438,L:,-0.1206,0.4495,0.4725,1.7181,-0.1565,2.031,,
hoo,30,0.96,move,0.1795,-0.1963,0.0798,R:,-1.152,0.6535,-0.227,1.4542,0.0015,-1.3438,L:,-0.1206,0.4449,0.5093,1.7319,-0.1565,2.031,,
,31,0.96,move,0.1135,-0.247,-0.0276,,,,,,,,,,,,,,,,
PART2,32,0,marker,,,,,,,,,,,,,,,,,,,
arm,34,1.8,move,0.0046,-0.3329,0.224,R:,-1.082,0.0522,-0.0537,2.0847,0.0031,-1.3438,L:,-0.116,0.4418,0.4648,1.8285,-0.1565,2.031,,
SECOND,35,0.96,move,0.2991,-0.3022,0.0844,R:,-1.161,0.0414,-0.0368,2,0.0031,-1.3438,L:,-0.1206,0.4188,0.5047,1.8745,-0.1565,2.031,,
things,36,0.48,move,0.1135,-0.3682,0.0552,R:,-1.158,0.043,-0.0368,2.3317,0.0031,-1.3438,L:,-0.1191,0.4142,0.4755,1.8822,-0.1565,2.031,,
second,37,0.48,move,-0.3866,-0.3007,0.0169,R:,-1.172,0.0353,-0.0368,2,0.0031,-1.3438,L:,-0.1191,0.4096,0.4786,1.7932,-0.1565,2.031,,
tell,38,0.48,move,-0.3436,-0.1733,0.0721,R:,-1.164,0.092,-0.8928,2.1629,0.0031,-1.3438,L:,-0.1206,0.4172,0.4817,1.8623,-0.1565,2.031,,
think,39,0.96,move,-0.0798,-0.362,0.0015,R:,-1.3177,0.0721,-0.0598,1.5984,0.043,-1.3852,L:,-0.1206,0.4111,0.4847,1.8791,-0.1503,2.031,,
be,40,0.96,move,-0.2623,-0.431,0.0031,R:,-1.1873,0.1979,-1.287,2.4237,-0.2961,-1.1704,L:,-0.1206,0.4096,0.5645,1.7196,-0.0936,2.031,,
one,41,0.96,move,-0.3068,-0.3237,0.0445,R:,-1.1842,0.2117,-0.7486,2.0647,-0.2961,-1.1704,L:,-0.1206,0.4188,0.3866,1.8331,-0.092,2.0325,,
,42,0.96,move,0.1012,-0.1703,0.0046,,,,,,,,,,,,,,,,
sail,43,0.96,move,-0.1089,-0.1963,-0.0874,R:,-1.1842,0.2132,-0.6903,2.0264,-0.2961,-1.1704,L:,-0.1329,0.4096,0.3513,1.85,-0.092,2.0325,,
master,44,0.96,move,-0.0123,-0.2546,0.1764,R:,-1.1658,0.2117,-1.2379,2.3669,-0.2961,-1.1704,L:,-0.1329,0.4019,0.3927,1.85,-0.092,2.0601,,
sea,45,0.96,move,0.4387,-0.0644,0.0383,R:,-0.9066,0.3329,-0.4679,1.3852,-0.2961,-1.1704,L:,-0.1191,0.4801,0.431,1.6444,0.0031,2.0877,,
Oh hoo,46,0.96,move,0.3359,-0.316,0.0537,R:,-0.9419,0.2086,-0.9265,1.7288,0.7056,-1.3208,L:,-0.1206,0.5077,0.4955,1.7288,0.0353,2.0893,,
TURN,33,0,marker,,,,,,,,,,,,,,,,,,-1,
the,47,0.96,move,0.1718,-0.2823,0.0522,R:,-0.8498,0.2961,-0.8805,1.738,-0.3804,-0.385,L:,-0.1145,0.5216,0.4326,1.6552,0.0337,2.0893,,
master,48,0.96,move,-0.6366,-0.135,-0.0614,R:,-0.8514,0.2961,-0.9204,1.7303,-0.3804,-0.385,L:,-0.1145,0.5047,0.4234,1.8254,0.0337,2.0893,,
sea,49,0.96,move,-0.6934,-0.1979,0.0261,R:,-0.833,0.497,-0.3206,1.356,-0.3789,-0.385,L:,-0.1145,0.4955,0.4234,1.6843,0.0353,2.0893,,
oh ho,50,0.96,move,-0.1672,-0.2071,0.0123,R:,-0.7148,0.5286,-0.2,1.1413,-0.3804,-0.385,L:,-0.1145,0.4985,0.4387,1.7135,0.0445,2.0939,,
PART3,51,0,marker,0.115,-0.2194,0.0905,,,,,,,,,,,,,,,,
I was,53,0.96,move,0.224,-0.1933,0.0506,R:,-0.9449,0.1657,-1.6015,1.9098,0.7056,-1.3208,L:,-0.1114,0.4909,0.3958,1.6782,0.0445,2.0954,,
broken,54,0.96,move,-0.431,-0.1841,0.1273,R:,-0.428,0.27,-0.5875,2.146,0.2025,-1.287,L:,-0.1099,0.4771,0.5108,1.6015,0.0445,2.0954,,
young,55,0.96,move,-0.3451,-0.1611,0.0997,R:,-0.6734,0.0982,-0.9112,1.7273,0.2025,-1.2855,L:,-0.1114,0.4801,0.4633,1.6966,0.0445,2.0954,,
sulking,56,0.96,move,0.5277,-0.1979,0.1135,R:,-0.428,0.27,-0.5875,2.146,0.2025,-1.287,L:,-0.1099,0.4633,0.5062,1.6521,0.0445,2.0939,,
masses,57,0.96,move,0.474,-0.3359,0.089,R:,-0.7578,0.0997,-0.4541,2.0295,0.2025,-1.287,L:,-0.1099,0.4403,0.5446,1.5785,0.0445,2.0954,,
poems,58,0.96,move,0.0353,-0.3329,0.0997,R:,-0.7593,0.1227,-0.5875,2.1798,-1.0324,-0.8161,L:,-0.1099,0.4403,0.4801,1.603,0.0445,2.0954,,
TURN STOP,33,0,marker,,,,,,,,,,,,,,,,,,0,
few,59,0.96,move,-0.0522,-0.3145,-0.5369,R:,-0.744,0.2408,-1.3652,2.0157,0.2746,-0.8161,L:,-0.1099,0.4172,0.4602,1.6828,0.0445,2.0954,,
looked,60,0.96,move,-0.0107,0.902,0.023,R:,-0.4725,0.3743,-0.994,1.8224,0.2746,-1.4159,L:,-0.1099,0.4019,0.4955,1.7549,0.0445,2.0954,,
--took,61,0.48,move,-0.4495,0.856,-0.2715,R:,-0.4863,0.3574,-1.4864,1.827,0.2746,-1.4159,L:,-0.1099,0.4065,0.4832,1.9113,0.0445,2.0954,,
shook,62,0.48,move,-0.0107,0.902,0.023,R:,-0.4939,0.3405,-1.31,1.5631,0.2746,-1.4159,L:,-0.1099,0.4019,0.4771,1.5463,0.0445,2.0954,,
--feeling,63,0.48,move,0.3175,0.8345,0.0675,R:,-0.5062,0.2393,-1.6153,1.4834,0.2746,-1.4159,L:,-0.1099,0.4203,0.4755,1.6045,0.0445,2.0954,,
singing,64,0.48,move,-0.293,-0.1227,-0.0476,R:,-0.5814,0.2255,-0.181,2.2028,-0.1074,-0.6842,L:,-0.1099,0.4234,0.4648,1.9313,0.0445,2.0954,,
messge,65,0.96,move,0.2178,-0.1611,-0.0031,R:,-0.8,0.2516,-0.3988,2.0678,-0.1074,-0.6857,L:,-0.1083,0.4172,0.4326,1.5463,0.0445,2.0954,,
,66,0.96,move,0.2546,-0.1503,-0.0092,,-1.083,,,,,,,,,,,,,,
veins,67,0.96,move,-0.0844,-0.1902,0.0215,R:,-0.9986,0.3513,-0.2132,1.6,-0.1074,-0.6842,L:,-0.1099,0.4218,0.4725,1.7579,0.0445,2.0954,,
lesson,68,0.96,move,-0.4602,-0.3543,0.1012,R:,-1.083,0.2516,-0.3988,2.0678,-0.1074,-0.6857,L:,-0.1099,0.4157,0.4648,1.5907,0.0445,2.0954,,
brain,69,0.96,move,0.0353,-0.2071,0.1473,R:,-1.2287,0.2531,-0.3528,2.439,-0.0414,-1.4266,L:,-0.1083,0.4126,0.4633,1.7165,0.0491,2.0954,,
TURN,71,0,marker,,,,,,,,,,,,,,,,,,1,
beauty,70,0.96,move,0.3436,-0.0828,-0.0644,R:,-1.0769,0.2071,-1.1075,2.5065,-0.9603,-1.1766,L:,1.0713,0.5722,0.9741,2.6615,-0.0583,2.1859,,
PAIN,72,2.64,move,-0.1058,-0.5,0.043,R:,-1.3453,0.3712,0.3007,2.0985,0.4633,0.0368,L:,1.4011,0.8345,-0.4449,1.8392,-0.7348,1.3361,,
BRIGHT WHITE,73,0,lights,,,,,,,,,,,,,,,,,,24,
you made me,74,0.96,move,-0.7118,-0.0184,0.1012,R:,-1.264,0.2899,-0.1657,2.0847,0.4449,-1.241,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
,75,0.96,move,-0.4556,0.0506,0.1197,,-1.3,,,,,,,,,,,,,,
DIM WHITE,76,0,lights,,,,,,,,,,,,,,,,,,14,
a,77,0.96,move,0.3789,-0.112,0.1058,R:,-1.2686,0.2945,-0.4341,1.534,0.4449,-1.241,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
you made me,78,0.96,move,0.1825,-0.1074,0.0399,R:,-1.2625,0.3037,-0.115,2.166,0.4449,-1.241,L:,1.2784,0.5262,-0.0092,1.985,0.0522,2.2074,,
a,79,0.96,move,-0.3728,-0.135,-0.0138,R:,-1.2686,0.3912,-0.9311,1.5723,0.4449,-1.241,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
Believer,80,0.96,move,-0.0031,-0.0491,0.1028,R:,-1.2671,0.3574,-0.5369,1.8316,0.4449,-1.2395,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
TURN,71,0,marker,,,,,,,,,,,,,,,,,,-1,
Believer,81,0.96,move,0.1871,-0.0706,0.0798,R:,-1.2625,0.3129,-1.4036,1.5202,1.1229,-1.2456,L:,0.8627,0.8222,0.2516,1.9451,0.1994,2.2059,,
PAIN,82,0.96,move,-0.1058,-0.5,0.043,R:,-1.3453,0.3712,0.3007,2.0985,0.4633,0.0368,L:,1.4011,0.8345,-0.4449,1.8392,-0.7348,1.3361,,
BRIGHT WHITE,83,0,lights,,,,,,,,,,,,,,,,,,24,
you break,84,1.92,move,-0.54,-0.1519,-0.0859,R:,-0.9449,0.2823,-1.2747,1.0769,0.7455,-1.2563,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
DIM WHITE,85,0,lights,,,,,,,,,,,,,,,,,,14,
you build,86,0.96,move,-0.0506,-0.1687,0.227,R:,-0.9541,0.2961,-1.0431,2.5249,0.744,-1.2563,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
believer,87,1.92,move,0.3252,-0.1902,0.0598,R:,-0.9971,0.4096,-0.3436,2.4083,0.744,-1.2563,L:,1.2784,0.5262,-0.0092,1.985,0.0522,2.2074,,
TURN,71,0,marker,,,,,,,,,,,,,,,,,,1,
believer,88,1.92,move,0.4985,-0.2623,0.0813,R:,-1.2809,0.9449,0.3467,1.8469,0.7455,-1.2563,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
PAIN,89,0.96,move,0.4418,-0.2838,0.0537,R:,-1.3453,0.3712,0.3007,2.0985,0.4633,0.0368,L:,1.4011,0.8345,-0.4449,1.8392,-0.7348,1.3361,,
oh let,90,0.96,move,0.2224,-0.2393,-0.1365,R:,-0.9572,0.3129,-0.9388,1.9405,0.7655,-1.3023,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
,91,0.96,move,0.1197,-0.3559,-0.1135,,-1.1,,,,,,,0.2,,,,,,,
rain,92,0.96,move,-0.3973,-0.2899,0.0706,R:,-0.8636,0.2761,-1.5125,1.2517,0.7655,-1.3008,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
,93,0.96,move,-0.3298,-0.1917,-0.0123,,-0.11,,,,,,,,,,,,,,
my life,94,0.96,move,-0.1856,-0.1779,0.0015,R:,-1.0707,0.3329,-1.2993,2.5357,0.7655,-1.3008,L:,1.2784,0.5262,-0.0092,1.985,0.0522,2.2074,,
TURN,71,0,marker,,,,,,,,,,,,,,,,,,-1,
my drive,95,0.96,move,0.0629,-0.2316,0.0552,R:,-1.017,0.3651,-0.8452,2.3163,0.7655,-1.3008,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
PAIN,96,1.92,move,-0.1058,-0.5,0.043,R:,-1.3453,0.3712,0.3007,2.0985,0.4633,0.0368,L:,1.4011,0.8345,-0.4449,1.8392,-0.7348,1.3361,,
BRIGHT WHITE,97,0,lights,,,,,,,,,,,,,,,,,,24,
you made,98,0.96,move,0.3436,-0.1181,-0.1917,R:,-1.2011,0.2454,-0.2577,1.5417,0.4847,-1.5079,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
DIM WHITE,99,0,lights,,,,,,,,,,,,,,,,,,14,
,100,0.96,move,0.1197,-0.2086,-0.1687,,-1.15,,,,,,,,,,,,,,
you made,101,0.96,move,0.0522,-0.1994,-0.1381,R:,-1.1275,0.3543,-1.172,2.4897,0.4847,-1.5079,L:,1.3658,0.4771,0.316,2.0387,0.1304,2.2074,,
believer,102,0.96,move,-0.3528,-0.2669,-0.2546,R:,-1.1321,0.3283,-0.2869,2.2626,0.4847,-1.5079,L:,1.2784,0.5262,-0.0092,1.985,0.0522,2.2074,,
,103,0.96,move,-0.3436,-0.201,-0.0644,,-1.05,,,,,,,,,,,,,,
believer,104,0.96,move,-0.204,-0.1135,0.069,R:,-1.1321,0.3283,-0.2869,2.2626,0.4847,-1.5079,L:,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
,105,0.96,move,-0.0537,-0.1749,0.0644,,-1.05,,,,,,,,,,,,,,
PART4,106,0,marker,0.1089,-0.1887,0.2286,,,,,,,,,1.2094,0.5584,0.3881,1.988,0.0644,2.2059,,
TURN,107,0,marker,,,,,,,,,,,,,,,,,,1,
DIM BLUE,108,0,lights,,,,,,,,,,,,,,,,,,13,
arm,109,0.48,move,-0.0368,-0.0752,-0.0537,R:,-1.082,0.0522,-0.0537,2.0847,0.0031,-1.3438,L:,-0.0669,0.3528,0.5062,1.3361,-0.1963,1.7794,,
THIRD,110,0.96,move,0.1933,-0.2056,0.0813,R:,-1.161,0.0414,-0.0368,2,0.0031,-1.3438,L:,-0.0669,0.4126,0.4234,1.4051,-0.1963,1.7794,,
things,111,0.48,move,-0.0583,-0.1381,0.0614,R:,-1.158,0.043,-0.0368,2.3317,0.0031,-1.3438,L:,-0.0669,0.4725,0.4479,1.511,-0.1565,2.0954,,
third,112,0.48,move,-0.4142,-0.2255,-0.1473,R:,-1.172,0.0353,-0.0368,2,0.0031,-1.3438,L:,-0.0669,0.4479,0.4817,1.4788,-0.1365,2.0954,,
tell,113,0.48,move,-0.4633,-0.1304,-0.1104,R:,-1.164,0.092,-0.8928,2.1629,0.0031,-1.3438,L:,-0.0669,0.4571,0.4847,1.5002,-0.1365,2.0954,,
think,114,0.96,move,-0.4004,0.0782,0.1227,R:,-1.3177,0.0721,-0.0598,1.5984,0.043,-1.3852,L:,-0.0669,0.474,0.5599,1.4788,-0.1917,2.0954,,
be,115,0.96,move,0.0966,-0.0629,0.1856,R:,-1.1873,0.1979,-1.287,2.4237,-0.2961,-1.1704,L:,-0.07,0.4602,0.4694,1.5815,-0.1994,2.0402,,
TURN,71,0,marker,,,,,,,,,,,,,,,,,,-1,
one,116,0.96,move,0.3804,-0.2132,0.0752,R:,-1.1842,0.2117,-0.7486,2.0647,-0.2961,-1.1704,L:,-0.07,0.4479,0.4985,1.4956,-0.1979,1.9896,,
,117,0.96,move,-0.0552,-0.227,-0.0107,,-0.92,,,,,,,,,,,,,,
sail,118,0.96,move,-0.4341,-0.2792,-0.1166,R:,-1.1842,0.2132,-0.6903,2.0264,-0.2961,-1.1704,L:,-0.0669,0.4111,0.4755,1.4327,-0.1979,1.7395,,
master,119,0.96,move,-0.4295,-0.293,-0.0997,R:,-1.1658,0.2117,-1.2379,2.3669,-0.2961,-1.1704,L:,-0.0669,0.3528,0.5062,1.3361,-0.1963,1.7794,,
